River,Material,SiO2,Al2O3,Fe2O3(T),MgO,Na2O,CaO,K2O,TiO2,MnO,Reference,Sampling Location,Notes,Sampled at,Comment
Kalix river at Kamlunge,Suspended matter,47.70416,12.0928,22.0178344459012,2.48741368674507,2.56114048933959,3.77780358499568,1.68644830373416,0,0.965325,Anderson et al 1998 in Viers 2009,Kamlunge,,Mouth,
Rautas,Suspended,59.04192,13.6044,8.00648525305497,2.65324126586141,2.42634362147961,3.078210328515,2.89105423497284,0,0.34815,Andersson et al 1998 in Viers 2009,Rautas,">0,45 um",Tributary,
Beni,Bank,83.72294,7.17839945,3.56681556,0.60292152,0.405074,0.24388056,1.42841468,,,Bouchez et al 2012,Rurrenabaque,328um D90,,
Beni at Riberalta,Bank,84.29581776,6.6601096,2.9923621,0.49646508,0.4209804,0.14397768,1.4503384,,,Bouchez et al 2012,Riberalta,,,
Madre de Dios,Bank,82.8234064,7.29630425,2.67811404,0.53825172,0.7671468,0.398772,1.68427172,,,Bouchez et al 2012,Riberalta,,,
Brazos,Suspended matter,49.84336,15.8718,5.161217,1.90693,0.35048,8.059392,1.517796,,0.09495,Canfield 1997 in Viers et al 2009,See Canfield 1997,">0,4 �m",Mouth,
"Colorado (Upper, CO)",Suspended matter,60.11152,14.3602,5.232702,1.757692,1.03796,3.036264,2.083958,,0.1266,Canfield 1997 in Viers et al 2009,See Canfield 1997,">0,4 �m",Midstream,
"Colorado, TX",Suspended matter,49.2016,13.41545,5.347078,1.956676,0.24264,10.200168,1.300968,,0.079125,Canfield 1997 in Viers et al 2009,See Canfield 1997,">0,4 �m",Midstream,
Connecticut,Suspended matter,50.05728,21.5403,7.391549,1.426052,1.80632,0.615648,3.782444,0,0.427275,Canfield 1997 in Viers et al 2009,See Canfield 1997,">0,4 �m",Mouth,"All of Canfield 1997's samples come with lots of environmental variables AND grainsize data, BUT no sampling location"
Cumberland,Suspended matter,55.19136,22.2961,9.092892,1.276814,0.4718,1.245288,3.144006,0,0.300675,Canfield 1997 in Viers et al 2009,See Canfield 1997,">0,4 �m",Midstream,
Illinois,Suspended matter,58.828,17.3834,6.176304,1.376306,0.63356,1.035408,1.999636,0,0.142425,Canfield 1997 in Viers et al 2009,See Canfield 1997,">0,4 �m",Tributary,
"Miss, Venice",Suspended matter,54.97744,15.4939,5.990443,1.40947,0.75488,1.46916,1.915314,0,0.174075,Canfield 1997 in Viers et al 2009,See Canfield 1997,">0,4 �m",Mouth,
"Miss, Winfield",Suspended matter,56.6888,17.3834,7.091312,1.508962,0.52572,2.112792,2.04782,0,0.174075,Canfield 1997 in Viers et al 2009,See Canfield 1997,">0,4 �m",Midstream,
Missouri,Suspended matter,63.74816,12.4707,4.946762,1.542126,1.05144,2.294688,1.782808,,0.205725,Canfield 1997 in Viers et al 2009,See Canfield 1997,">0,4 �m",Tributary,
Neuse,Suspended matter,55.40528,21.72925,10.422513,0.8291,0.43136,1.18932,1.481658,0,0.363975,Canfield 1997 in Viers et al 2009,See Canfield 1997,">0,4 �m",Mouth,
Ohio,Suspended,57.11664,18.1392,7.091312,1.426052,0.48528,1.343232,2.65012,0,0.3165,Canfield 1997 in Viers et al 2009,See Canfield 1997,">0,4 �m",Midstream,
Pecos,Suspended matter,57.54448,10.39225,4.403476,3.084252,0.63356,7.541688,2.16828,,0.110775,Canfield 1997 in Viers et al 2009,See Canfield 1997,">0,4 �m",Tributary,
Platte,Suspended matter,61.18112,10.77015,4.946762,1.790856,0.84924,3.819816,2.132142,,0.1899,Canfield 1997 in Viers et al 2009,See Canfield 1997,">0,4 �m",Tributary,
Red River,Suspended matter,68.02656,10.77015,4.160427,2.07275,0.56616,2.154768,2.180326,,0.09495,Canfield 1997 in Viers et al 2009,See Canfield 1997,">0,4 �m",Tributary,
"Rio Grande, NM",Suspended matter,39.36128,14.17125,6.791075,2.188824,1.67152,2.93832,2.276694,,0.34815,Canfield 1997 in Viers et al 2009,See Canfield 1997,">0,4 �m",Midstream,
"Rio Grande, TX",Suspended matter,40.43088,7.9359,3.845893,1.57529,0.45832,17.35008,1.517796,,0.079125,Canfield 1997 in Viers et al 2009,See Canfield 1997,">0,4 �m",Midstream,
Sabine,Suspended matter,62.0368,18.1392,5.547236,0.945174,0.32352,0.83952,1.337106,0,0.237375,Canfield 1997 in Viers et al 2009,See Canfield 1997,">0,4 �m",Mouth,
Sciota,Suspended matter,63.32032,13.41545,6.262086,1.774274,0.55268,2.252712,2.373062,0,0.300675,Canfield 1997 in Viers et al 2009,See Canfield 1997,">0,4 �m",Tributary,
Tombigbee,Suspended matter,54.5496,21.1624,7.277173,1.144158,0.28308,1.175328,1.517796,0,0.28485,Canfield 1997 in Viers et al 2009,See Canfield 1997,">0,4 �m",Midstream,
Wabash,Suspended matter,61.60896,15.116,5.790285,1.707946,0.62008,2.406624,2.264648,0,0.15825,Canfield 1997 in Viers et al 2009,See Canfield 1997,">0,4 �m",Tributary,
Nile,,52.19648,18.5171,15.44076,3.06767,0.98404,5.5968,2.28874,0,0,Clarke 1924 in Martin & Maybeck 1979,,,,
St Lawrence,,54.12176,14.7381,6.934045,4.06259,3.37,3.21816,3.07173,1.301118,0.110775,d'Angelejan (1973) in Martin & Maybeck 1979,Estuary,,Mouth,
Po ,,46.078368,15.663955,6.31940443187553,4.14568947790845,0.741382773229881,12.2708657186712,2.65013304872511,0,0.1635039,Davide et al 2003 in Viers 2009,,Along length of Po,Midstream,Average of 10 samples along entire length
Parana (at Parana),Suspended matter,63.170576,14.51136,6.548026,1.16074,0.90316,0.727584,2.180326,0.867412,0,Depetris et al. 2003 in Viers 2009,Parana,">0,4 �m",Mouth,
Parana (at Rosario),Suspended,59.0665306061326,16.2115895860376,7.36310697379163,1.40953442248887,0.87617964108986,0.797536312387978,2.44535004041453,0.884058261107442,,Depetris et al. 2003 in Viers 2009,Rosario,,Mouth,
Uruguay (at Gualeguaychu Nov 97),Suspended matter,55.897296,14.20904,11.022987,0.878846,0.97056,1.315248,1.108232,1.6681,0,Depetris et al. 2003 in Viers 2009,Gualeguaychu,">0,4 �m",Mouth,
Uruguay (at Gualeguaychu Nov 98),Suspended,49.2042812003277,16.4194304781663,11.7094846825929,1.31003787501907,0.404390603579935,1.37120278270214,1.18051381261391,1.41782928668175,,Depetris et al. 2003 in Viers 2009,Gualeguaychu,,Mouth,
Balombo,Deposited Mud ,51.4,19.7,7.6,0.8,0.5,1.4,3.4,1.4,0.19,Dinis et al 2017,Canjala,<32um,Mouth,
Bentiaba,Deposited Mud ,51.1,19.3,6.3,1.6,1.8,2.7,2.9,1,0.11,Dinis et al 2017,Bentiaba,<32um,Mouth,
