Samp,SiO2,Al2O3,Fe2O3T,MgO,Na2O,CaO,K2O,TiO2,MnO,P205,H20,Ref,Location,Profile,Protolith,Unweathered
58,69.3,17,3.2856,1,2.931,2.45,2.23,0.64,0.04,0.04,,Girty et al 2003,Southern California,4,Granodiorite,
59,69.7,17,2.997,0.93,2.93,2.4,2.08,0.6,0.04,0.03,,Girty et al 2003,Southern California,4,Granodiorite,
60,69.1,17.4,3.219,0.86,2.4,1.78,2.33,0.67,0.04,0.03,,Girty et al 2003,Southern California,4,Granodiorite,
61,69.7,17,3.0081,0.92,2.81,2.33,2.29,0.59,0.04,0.03,,Girty et al 2003,Southern California,4,Granodiorite,
62,68.6,17.8,3.3078,0.96,2.6,2.1,2.09,0.64,0.04,0.03,,Girty et al 2003,Southern California,4,Granodiorite,
63,69.3,17.4,3.33,0.92,2.39,1.9,2.27,0.66,0.04,0.02,,Girty et al 2003,Southern California,4,Granodiorite,
64,69.8,16,2.9304,1,3.6,3.15,1.9,0.57,0.05,0.13,,Girty et al 2003,Southern California,4,Granodiorite,
65,70.2,16.1,2.5197,0.85,3.81,3.22,1.99,0.49,0.04,0.11,,Girty et al 2003,Southern California,4,Granodiorite,
66,70.3,16.3,2.6418,0.85,3.84,3.2,1.93,0.51,0.04,0.13,,Girty et al 2003,Southern California,4,Granodiorite,
67,70.2,16.6,2.553,0.78,3.72,3.02,1.97,0.51,0.04,0.1,,Girty et al 2003,Southern California,4,Granodiorite,
68,70.3,16,2.9748,0.94,3.61,3.11,1.89,0.6,0.05,0.08,,Girty et al 2003,Southern California,4,Granodiorite,
69,70.8,15.7,2.5752,0.87,3.77,3.22,1.95,0.53,0.05,0.11,,Girty et al 2003,Southern California,4,Granodiorite,
70,68.8,15.7,3.3189,1.13,3.39,3.38,2.1,0.67,0.06,0.14,,Girty et al 2003,Southern California,4,Granodiorite,
71,70.4,15.7,2.8749,0.89,3.75,3.25,2.03,0.57,0.05,0.13,,Girty et al 2003,Southern California,4,Granodiorite,
72,70.8,15.7,2.3865,0.84,4,3.41,2.32,0.5,0.04,0.13,,Girty et al 2003,Southern California,4,Granodiorite,Y
73,71.4,15.3,2.4531,0.8,4.03,3.2,2.42,0.51,0.04,0.13,,Girty et al 2003,Southern California,4,Granodiorite,Y
74,70.9,15.7,2.4642,0.83,4.06,3.41,2.27,0.48,0.04,0.13,,Girty et al 2003,Southern California,4,Granodiorite,Y
75,71.1,15.9,2.1978,0.79,4.12,2.48,2.27,0.46,0.04,0.13,,Girty et al 2003,Southern California,4,Granodiorite,Y
94,60.17,17.51,7.51,2.9,2.42,2.3,2.13,0.73,0.12,0.2,,Lee et al 2004,South Shetland Islands,12,Granodiorite,
95,56.28,18.96,8.03,3.47,3.46,4.85,1.4,0.84,0.14,0.18,,Lee et al 2004,South Shetland Islands,12,Granodiorite,
96,61.87,17.64,5.72,2.3,2.58,2.19,2.68,0.71,0.11,0.21,,Lee et al 2004,South Shetland Islands,12,Granodiorite,
97,65.72,15.65,4.5,1.72,3.69,3.09,3.01,0.55,0.1,0.14,,Lee et al 2004,South Shetland Islands,12,Granodiorite,
98,57.97,16.12,9.69,1.75,3.34,3.47,1.82,0.91,0.35,0.22,,Lee et al 2004,South Shetland Islands,12,Granodiorite,
99,48.23,18.4,9.47,3.66,2.73,5.33,0.74,1.53,0.15,0.44,,Lee et al 2004,South Shetland Islands,13,Basaltic Andesite,
100,48.22,19.49,9.84,3.39,2.98,8.06,0.58,1.26,0.18,0.21,,Lee et al 2004,South Shetland Islands,13,Basaltic Andesite,
101,52.41,17.78,9.16,3.89,3.62,6.51,0.89,1.52,0.16,0.29,,Lee et al 2004,South Shetland Islands,13,Basaltic Andesite,
102,47.53,19.35,9.35,3.56,2.98,5.07,0.82,1.49,0.15,0.7,,Lee et al 2004,South Shetland Islands,13,Basaltic Andesite,
103,49.42,18.14,9.92,3.63,3.36,6.22,0.71,1.58,0.15,0.36,,Lee et al 2004,South Shetland Islands,13,Basaltic Andesite,
104,54.62,21.45,7.54,2.83,1.09,1.74,2.1,0.82,0.08,0.38,,Lee et al 2004,South Shetland Islands,13,Basaltic Andesite,
105,56.52,19.5,9.03,1.32,3.09,1.26,1.77,1.1,0.17,0.29,,Lee et al 2004,South Shetland Islands,14,Basaltic Andesite,
106,50.78,18.46,9.96,2.96,3.49,5.17,1.24,1.49,0.18,0.31,,Lee et al 2004,South Shetland Islands,14,Basaltic Andesite,
107,50.79,19.3,9.36,3.4,2.83,3.11,1.93,1.23,0.19,0.39,,Lee et al 2004,South Shetland Islands,14,Basaltic Andesite,
108,54.78,19.1,8.21,3.34,2.02,4.75,1.9,0.78,0.14,0.17,,Lee et al 2004,South Shetland Islands,14,Basaltic Andesite,
109,60.22,18.08,5.69,2.21,3.94,3.84,1.56,1.12,0.1,0.21,,Lee et al 2004,South Shetland Islands,14,Basaltic Andesite,
110,51.77,19.55,9.37,4.02,2.54,3.83,1.07,0.9,0.18,0.27,,Lee et al 2004,South Shetland Islands,14,Basaltic Andesite,
111,53.85,18.85,8.72,3.96,2.49,4.07,1.08,0.9,0.15,0.27,,Lee et al 2004,South Shetland Islands,14,Basaltic Andesite,
112,52.58,19.31,7.87,3.7,2.87,4.39,1.13,1.01,0.14,0.32,,Lee et al 2004,South Shetland Islands,14,Basaltic Andesite,
